 Graphics ; Launch ; Market; Processor; Code name; Device ID; Clock rate; Clock rate; Core config1; API support; API support; API support; API support; eDRAM  (MiB);  bandwidth  (GB/s)
Graphics;Launch;Market;Processor;Code name;Device ID;Min  (MHz);Max  (MHz);Core config1;Direct3D;OpenGL;OpenCL;Vulkan;eDRAM  (MiB);bandwidth  (GB/s)
1000;2017;Mobile;Xeon E3-1505M v6  Xeon E3-1535M v6;Kaby Lake  (Gen9p5);5906;300;1100;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;34.1
Workstation;2017;Xeon E3-1225 v6  Xeon E3-1245 v6  Xeon E3-1275 v6  Xeon E3-1285 v6;1150;Kaby Lake  (Gen9p5);Iris Plus Graphics 640;Mobile;Core i5-7260U;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;34.1
5926;2017;300;350;Kaby Lake  (Gen9p5);950;384:48:6  (GT3);64;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;34.1
34.1;2017;Core i5-7360U;350;Kaby Lake  (Gen9p5);1000;Core i7-7560U;1050;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;34.1
Core i7-7660U;2017;1050;350;Kaby Lake  (Gen9p5);1100;Iris Plus Graphics 650;Core i3-7167U;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
5927;2017;1000;350;Kaby Lake  (Gen9p5);38.4;Core i5-7267U;1050;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i5-7287U;2017;1100;Core i7-7567U;Kaby Lake  (Gen9p5);1150;UHD Graphics 610;2017;Desktop;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Celeron G4900T;2017;Mobile;591E;Kaby Lake  (Gen9p5);300;192:24:3  (GT2);29.8;Coffee Lake;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
3E93;2017;Mobile;591E;Kaby Lake  (Gen9p5);300;192:24:3  (GT2);29.8;350;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1000;2017;Mobile;591E;Kaby Lake  (Gen9p5);300;192:24:3  (GT2);29.8;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
